0,Marchigüe,"(-71.67174060347823, -34.372585931309224)"
1,Codegua,"(-70.54722013613684, -34.0570480452359)"
2,Coinco,"(-70.97114091310992, -34.28228499570548)"
3,Coltauco,"(-71.07751769136027, -34.25966041184891)"
4,Cholchol,"(-72.90226474138645, -38.58323306879445)"
5,Cunco,"(-71.99214518104284, -38.97722314044315)"
6,Freire,"(-72.58843280508164, -38.95500889216587)"
7,Galvarino,"(-72.79166367860006, -38.448230058367926)"
8,Graneros,"(-70.74704412056082, -34.065640162144945)"
9,Malloa,"(-70.87283255349523, -34.476496296511456)"
10,Nueva Imperial,"(-72.97183947431273, -38.751449431741385)"
11,Perquenco,"(-72.43664487185644, -38.428255442854436)"
12,Pitrufquén,"(-72.6635977862797, -39.083941876854254)"
13,Temuco,"(-72.66778630305541, -38.673258903852904)"
14,Teodoro Schmidt,"(-73.127592278866, -39.00549511520131)"
15,Vilcún,"(-72.11650626804963, -38.704617618604374)"
16,Angol,"(-72.79545340976767, -37.76875148847005)"
17,Collipulli,"(-72.1241767337559, -38.02637510101485)"
18,Curacautín,"(-71.77196844396767, -38.4272150886882)"
19,Ercilla,"(-72.35294327837181, -38.0828169998956)"
20,Los Sauces,"(-72.79678755404716, -37.9828859776067)"
21,Lumaco,"(-73.04584694844489, -38.28717292790614)"
22,Purén,"(-73.05039053961967, -38.01219468650998)"
23,Renaico,"(-72.57554857055491, -37.71760013773957)"
24,Traiguén,"(-72.65500523951903, -38.24697714478906)"
25,Victoria,"(-72.23351448976749, -38.28058002820794)"
26,San Joaquín,"(-70.62840890208578, -33.496098373148605)"
27,Peumo,"(-71.22180600757854, -34.32910950855978)"
28,Pichidegua,"(-71.33902905592608, -34.37119651805062)"
29,San Pablo,"(-73.16152261720784, -40.427277730703885)"
30,La Unión,"(-73.21996195953787, -40.20199103793622)"
31,Los Lagos,"(-72.5544793891326, -39.87841718484095)"
32,Máfil,"(-72.8636985978487, -39.69207672688617)"
33,Paillaco,"(-72.84328891271237, -40.07432268672464)"
34,Curepto,"(-71.9530575565303, -35.12977892051734)"
35,Empedrado,"(-72.28429785167538, -35.61353617268254)"
36,San Miguel,"(-70.65157639470202, -33.4991024100932)"
37,Pencahue,"(-71.81624218930004, -35.32755030655678)"
38,Rancagua,"(-70.8166574464864, -34.12576306855342)"
39,Requínoa,"(-70.65909023235118, -34.334883584891095)"
40,Mostazal,"(-70.56883796823666, -33.95570254179768)"
41,San Vicente,"(-71.12315078863087, -34.47749848323144)"
42,Nancagua,"(-71.19195735323825, -34.667471553292145)"
43,Peralillo,"(-71.496704160808, -34.46602554361568)"
44,Placilla,"(-71.08631182304123, -34.6190097714774)"
45,Pumanque,"(-71.69176787187858, -34.595874439406145)"
46,Andacollo,"(-71.1006313760277, -30.259459275421023)"
47,San Ramón,"(-70.64224345553876, -33.54048398088255)"
48,Gorbea,"(-72.66957937697745, -39.1719324936717)"
49,Lautaro,"(-72.2890667305556, -38.54321715041723)"
50,Puqueldón,"(-73.63699599007828, -42.626754485626996)"
51,Fresia,"(-73.60475318354162, -41.15424157713934)"
52,Llanquihue,"(-73.1331738799095, -41.23755154873935)"
53,Osorno,"(-73.08652356657197, -40.61188739097973)"
54,Purranque,"(-73.45685144411878, -40.935442855091445)"
55,Laguna Blanca,"(-71.23986781163869, -52.330562340151346)"
56,Zona sin demarcar,"(-73.2564664162759, -49.48602825914276)"
57,Independencia,"(-70.66502917172707, -33.41453303687402)"
58,Rinconada,"(-70.70618716479609, -32.87635783923259)"
59,Cabildo,"(-70.82376024960901, -32.41732319781128)"
60,Petorca,"(-70.86993455011678, -32.19044545853856)"
61,La Cisterna,"(-70.66388855751917, -33.53008062115389)"
62,Panquehue,"(-70.8284987328525, -32.79376496629755)"
63,Cañete,"(-73.31744645022422, -37.8737501768348)"
64,Contulmo,"(-73.21195754707, -38.05262068379113)"
65,Curanilahue,"(-73.23552630460298, -37.48291813408461)"
66,Lebu,"(-73.59046198233368, -37.67722895813351)"
67,Los Alamos,"(-73.35697924537165, -37.673572677943085)"
68,Peñalolén,"(-70.52533578850557, -33.48537460566993)"
69,Olmué,"(-71.11042069814921, -33.0356648912939)"
70,Cartagena,"(-71.44212625490421, -33.53380638939277)"
71,Catemu,"(-70.94465490729523, -32.707375957907196)"
72,Llaillay,"(-70.90169499077876, -32.88809743769637)"
73,San Felipe,"(-70.75302509306299, -32.73634847517012)"
74,Santa María,"(-70.60974128971668, -32.68605482166222)"
75,Villa Alemana,"(-71.33018344012879, -33.06750864134964)"
76,Laja,"(-72.58250770820872, -37.31261168992299)"
77,Los Angeles,"(-72.32748535311829, -37.40755767404255)"
78,Mulchén,"(-72.09702297661754, -37.83835756273156)"
79,Nacimiento,"(-72.82356445398166, -37.485522967466146)"
80,Linares,"(-71.33217374321379, -35.95828961355197)"
81,Longaví,"(-71.4414039578599, -36.11053500688267)"
82,Providencia,"(-70.61208303909137, -33.43163091794038)"
83,Negrete,"(-72.57634868400443, -37.608089127610455)"
84,Quilaco,"(-71.70497648114896, -37.96074779085013)"
85,Quilleco,"(-71.86135197368566, -37.43665487382727)"
86,La Reina,"(-70.53668247358743, -33.44716577876244)"
87,Río Ibáñez,"(-72.48613757688265, -46.30039126853873)"
88,San Rosendo,"(-72.72124369178246, -37.21322533699649)"
89,Tucapel,"(-71.74437679911581, -37.225396855430944)"
90,Calera de Tango,"(-70.79019254453823, -33.62328132704924)"
91,Chile Chico,"(-72.58746235459446, -46.767854718011556)"
92,Torres del Paine,"(-72.84172066579261, -51.050236581497536)"
93,Primavera,"(-69.3291510492074, -52.817618797851175)"
94,Chiguayante,"(-73.00518525344188, -36.90078311187626)"
95,Concepción,"(-72.95087524198273, -36.83425365045729)"
96,Coronel,"(-73.12544566006486, -37.00720912690645)"
97,Florida,"(-72.71781960123795, -36.82234516070475)"
98,Hualqui,"(-72.87101369792084, -37.04482135789584)"
99,Lota,"(-73.10481745288175, -37.11965420233018)"
100,San Pedro de la Paz,"(-73.0979162200062, -36.88116505042571)"
101,Santa Juana,"(-72.96007455765466, -37.27672854362058)"
102,San Gregorio,"(-70.2220994124218, -52.32072873043647)"
103,Porvenir,"(-69.37977127478041, -53.31235996894976)"
104,Camiña,"(-69.5002749764992, -19.369527056521076)"
105,Colchane,"(-68.84505871037003, -19.352868872532007)"
106,Putre,"(-69.3114835478146, -18.428282983600678)"
107,María Elena,"(-69.46551206009555, -22.09306095301351)"
108,Talca,"(-71.60223200506603, -35.42788692939905)"
109,Colina,"(-70.61600894846896, -33.134893397916315)"
110,Santiago,"(-70.65655160173496, -33.45353060786903)"
111,Calama,"(-68.62911015559715, -22.168239686378048)"
112,Lampa,"(-70.87499025896503, -33.27803360500674)"
113,Pirque,"(-70.50680685730639, -33.71851554230807)"
114,Bulnes,"(-72.28999117550745, -36.790408854938825)"
115,Chillán Viejo,"(-72.19890815760476, -36.680070144241014)"
116,Chillán,"(-72.12851384729152, -36.617420828440686)"
117,Yumbel,"(-72.61604375753272, -37.088532217964364)"
118,Lonquimay,"(-71.2391432409322, -38.47451038302761)"
119,Puente Alto,"(-70.55781976766019, -33.5911239218401)"
120,Huechuraba,"(-70.63801601389741, -33.360272098207695)"
121,Yungay,"(-71.93060291021575, -37.104499288815056)"
122,Cabrero,"(-72.38130545690332, -37.06199250497214)"
123,Antuco,"(-71.36692824477167, -37.32762974203872)"
124,Quillón,"(-72.50188799203414, -36.81864923086448)"
125,Alto Biobío,"(-71.34868543278235, -37.86526158800696)"
126,San Bernardo,"(-70.72390760004703, -33.629191397690434)"
127,Curacaví,"(-71.08007277445786, -33.366543640379454)"
128,María Pinto,"(-71.2103837094243, -33.498072180972265)"
129,Cerrillos,"(-70.7124884621201, -33.49971674724236)"
130,Carahue,"(-73.26941490189117, -38.61133913582904)"
131,Toltén,"(-73.06576680091167, -39.216995588490235)"
132,Loncoche,"(-72.58287527613554, -39.35626725267429)"
133,Lanco,"(-72.62139501050325, -39.512192387808916)"
134,Cerro Navia,"(-70.7444879214873, -33.422212608003925)"
135,Vitacura,"(-70.5728774656619, -33.379371303486984)"
136,Conchalí,"(-70.67664032891392, -33.383500051851236)"
137,El Bosque,"(-70.67611906737363, -33.562663903265125)"
138,Río Verde,"(-72.459404565387, -52.84433429907908)"
139,Punta Arenas,"(-72.02001411949152, -53.64569295188635)"
140,Estación Central,"(-70.70065892956865, -33.4644059958175)"
141,Curarrehue,"(-71.53952216323964, -39.3367282491349)"
142,Panguipulli,"(-72.02913202207164, -39.71480943930652)"
143,Puyehue,"(-72.38353110876007, -40.72559929251744)"
144,Río Bueno,"(-72.53464013393337, -40.49622763593339)"
145,La Florida,"(-70.53981864808871, -33.528341784204216)"
146,La Granja,"(-70.62245080686344, -33.535500648573155)"
147,La Pintana,"(-70.63686027191805, -33.58733899045954)"
148,Cochamó,"(-72.09151307541507, -41.760256465517095)"
149,Lago Verde,"(-71.83389965340628, -44.49246798625857)"
150,Coyhaique,"(-71.99210727148605, -45.554681336929235)"
151,Cisnes,"(-73.13690418431685, -44.45693232820237)"
152,Tortel,"(-74.1709347993166, -48.02374704921248)"
153,Natales,"(-73.96115661085749, -50.660790400942105)"
154,O'Higgins,"(-72.90285996108513, -48.47778954269527)"
155,Cochrane,"(-72.74292308158807, -47.35880582024863)"
156,Las Condes,"(-70.50105073042351, -33.42116907328001)"
157,Lo Barnechea,"(-70.36871687418378, -33.2993898166445)"
158,Lo Espejo,"(-70.68991605479934, -33.5203989596629)"
159,Lo Prado,"(-70.72291782891045, -33.446774119233794)"
160,Macul,"(-70.59998970652468, -33.48941443675401)"
161,Ancud,"(-73.79901151901652, -42.017438119804865)"
162,Quellón,"(-73.99489384104244, -43.15117338051255)"
163,Queilén,"(-73.56459618730933, -42.855718056720356)"
164,Chonchi,"(-73.93050596100717, -42.681879437438035)"
165,Puerto Montt,"(-72.79522250987358, -41.48858272017922)"
166,Río Negro,"(-73.41669977790599, -40.770303205501655)"
167,Castro,"(-73.80457917333135, -42.4738033896457)"
168,Dalcahue,"(-73.83591980536212, -42.30966913005831)"
169,Quemchi,"(-73.41108595939663, -42.179114481373524)"
170,Saavedra,"(-73.29539990991586, -38.8326360618052)"
171,Maipú,"(-70.80960980010735, -33.50702602757054)"
172,Ñuñoa,"(-70.59871585092479, -33.457833869715756)"
173,Pedro Aguirre Cerda,"(-70.67545838683984, -33.491759832251766)"
174,Tirúa,"(-73.39432774783971, -38.29725024534878)"
175,Hualpén,"(-73.14106970496243, -36.788975948745836)"
176,Talcahuano,"(-73.09926840035288, -36.7157904143131)"
177,Penco,"(-72.9435522869055, -36.74776727268209)"
178,Chanco,"(-72.48527663713062, -35.69887746384954)"
179,Pelluhue,"(-72.60761520641925, -35.91153964283576)"
180,Constitución,"(-72.27615238171272, -35.36311393011322)"
181,Licantén,"(-72.06038012918268, -34.974217911235165)"
182,Vichuquén,"(-72.02262079571953, -34.84140484098032)"
183,Paredones,"(-71.91142665261019, -34.67343468434145)"
184,Pudahuel,"(-70.85466553310054, -33.423996977749994)"
185,Quilicura,"(-70.73531866611214, -33.355707291714)"
186,Pichilemu,"(-71.91056967862127, -34.38401442531098)"
187,Litueche,"(-71.73095180815979, -34.10584299596388)"
188,Navidad,"(-71.82041093880626, -34.01262412519802)"
189,Quinta Normal,"(-70.70107879452739, -33.42751745135372)"
190,Recoleta,"(-70.63939973168829, -33.40546831860387)"
191,Santo Domingo,"(-71.67632654514037, -33.80976970433882)"
192,San Antonio,"(-71.48923020152087, -33.664908239785255)"
193,El Tabo,"(-71.58032250510006, -33.48289786305343)"
194,El Quisco,"(-71.65134445399607, -33.41520647917454)"
195,Pozo Almonte,"(-69.5072226599498, -20.77313705940924)"
196,Alto del Carmen,"(-70.15652244618899, -28.990758971005473)"
197,San Carlos,"(-72.01887999321377, -36.38570122066896)"
198,Tomé,"(-72.85807993204944, -36.61683236204555)"
199,Algarrobo,"(-71.59881763676665, -33.32954557920236)"
200,Casablanca,"(-71.43475809751975, -33.31584423633454)"
201,Valparaíso,"(-71.57315764080816, -33.129665470118546)"
202,Renca,"(-70.7276530720703, -33.40174606714858)"
203,Viña del Mar,"(-71.51516017149497, -33.027739465809105)"
204,Concón,"(-71.46684245205336, -32.95255775387246)"
205,Quintero,"(-71.47266087523676, -32.84308082708368)"
206,Puchuncaví,"(-71.38748971794921, -32.74536758583594)"
207,El Monte,"(-71.03354815130663, -33.66787874399226)"
208,Zapallar,"(-71.33594564153644, -32.58752600738424)"
209,Papudo,"(-71.37977484923125, -32.47480928141005)"
210,La Ligua,"(-71.27091318553668, -32.3538083233924)"
211,Los Vilos,"(-71.30372836894168, -31.978030780723365)"
212,Canela,"(-71.39422727619323, -31.40186116174566)"
213,Ovalle,"(-71.40525931658264, -30.673267264206135)"
214,Coquimbo,"(-71.35852254551176, -30.228528161623906)"
215,La Serena,"(-71.06057843934987, -29.789188783636146)"
216,Freirina,"(-71.17834807607026, -28.813950629298684)"
217,Huasco,"(-71.02857339987321, -28.250506738836577)"
218,Copiapó,"(-69.82179107537473, -27.31697360123214)"
219,Caldera,"(-70.68263319684013, -27.14264881679898)"
220,Huara,"(-69.65642758124062, -19.602460031094246)"
221,Camarones,"(-69.7151024065154, -18.93733304576598)"
222,San Juan de la Costa,"(-73.56051653393963, -40.50679705235362)"
223,Arica,"(-69.97263654490912, -18.532377565079038)"
224,Mariquina,"(-73.01691677770373, -39.510502236874025)"
225,Arauco,"(-73.3997194329066, -37.288604049398515)"
226,Tocopilla,"(-70.0179642667263, -22.003337961466162)"
227,Padre Hurtado,"(-70.87111959102215, -33.55749844842726)"
228,Peñaflor,"(-70.8936711890993, -33.61100539325154)"
229,Antofagasta,"(-69.40526289517368, -24.278207657516056)"
230,Mejillones,"(-70.2029230268139, -22.946245210033705)"
231,Taltal,"(-69.86211019870233, -25.310257099707155)"
232,Chañaral,"(-70.33810701019799, -26.373111655928085)"
233,Cauquenes,"(-72.28066572592908, -35.9712124043714)"
234,Juan Fernández,"(-79.8647701078584, -33.31826335499955)"
235,Isla de Pascua,"(-109.3509128746019, -27.11875624788)"
236,Cabo de Hornos,"(-69.25621743649634, -55.02457448398394)"
237,Talagante,"(-70.89545164521216, -33.68199219019201)"
238,Timaukel,"(-69.54089382238583, -54.201878536862)"
239,Guaitecas,"(-73.81428550132256, -43.94568752181584)"
240,Alto Hospicio,"(-70.01098393826344, -20.189960160200126)"
241,Sierra Gorda,"(-69.30921808179501, -23.25999001216951)"
242,Combarbalá,"(-70.96540441301772, -31.14658710712103)"
243,Punitaqui,"(-71.3326301242798, -30.946076588480167)"
244,Paihuano,"(-70.37194070903101, -30.234369833804656)"
245,Illapel,"(-70.97038589402133, -31.549281369715775)"
246,Limache,"(-71.27813087186489, -33.03119409922681)"
247,Quillota,"(-71.27257667026903, -32.90474100454086)"
248,Aysén,"(-73.77447273002772, -45.98835102446789)"
249,Calera,"(-71.15570009926468, -32.7938696815965)"
250,Nogales,"(-71.17616365244388, -32.69155529511993)"
251,Calle Larga,"(-70.5446505776192, -32.95075534772121)"
252,La Estrella,"(-71.60261504682087, -34.22309306828831)"
253,Paine,"(-70.75827159404801, -33.86344263658533)"
254,Calbuco,"(-73.19524300360099, -41.72293791140338)"
255,Chaitén,"(-72.57586560009548, -43.0951107328675)"
256,Corral,"(-73.37174219203798, -39.989164695673814)"
257,Valdivia,"(-73.16950968958541, -39.8184749498957)"
258,Iquique,"(-70.04807014129119, -20.923357075112413)"
259,La Higuera,"(-70.901867249515, -29.3755265433674)"
260,Los Muermos,"(-73.58084585873108, -41.39658600139648)"
261,Maullín,"(-73.50191472316472, -41.63615501265624)"
262,Quinchao,"(-73.35841879019397, -42.521331544887424)"
263,Curaco de Vélez,"(-73.57887350217207, -42.426037859515766)"
264,Treguaco,"(-72.6595970557916, -36.428048605670526)"
265,Ranquil,"(-72.58793819461012, -36.64046348394751)"
266,Portezuelo,"(-72.4666345634046, -36.546292155647954)"
267,Cobquecura,"(-72.72049300077357, -36.180992216427484)"
268,Quirihue,"(-72.54372066204796, -36.235668792395586)"
269,Coelemu,"(-72.75029560777888, -36.505194504663734)"
270,Ninhue,"(-72.40970508004786, -36.35674628231902)"
271,Doñihue,"(-70.92366824072442, -34.19666442686152)"
272,Olivar,"(-70.82082033588289, -34.21141090735382)"
273,Isla de Maipo,"(-70.94614736755243, -33.74865819393069)"
274,Buin,"(-70.73935516680886, -33.747697470382526)"
275,Rengo,"(-70.71873258295328, -34.454642742067314)"
276,Santa Cruz,"(-71.40194385204909, -34.64298742372999)"
277,Palmilla,"(-71.35306255721976, -34.52830573949065)"
278,Río Claro,"(-71.26969571654564, -35.2603065658314)"
279,Pelarco,"(-71.35001705311508, -35.38305875105594)"
280,San Javier,"(-71.92723258352537, -35.62899375717348)"
281,Villa Alegre,"(-71.68355124876568, -35.6858042657171)"
282,Yerbas Buenas,"(-71.54414657880127, -35.689770303241204)"
283,Maule,"(-71.71105602425823, -35.508975009372094)"
284,San Rafael,"(-71.50092837667206, -35.30242867251492)"
285,Santa Bárbara,"(-71.74918650866857, -37.62137074564426)"
286,Villarrica,"(-72.18365963114069, -39.30116467051363)"
287,Pucón,"(-71.79243637192242, -39.27101920007033)"
288,Padre Las Casas,"(-72.55536947362286, -38.80228083033558)"
289,Puerto Octay,"(-72.59868795506452, -40.9329700902677)"
290,Frutillar,"(-73.09412732026847, -41.08695159107285)"
291,La Cruz,"(-71.24018807080084, -32.824992612156635)"
292,Sagrada Familia,"(-71.49591219775635, -35.10383022651245)"
293,Retiro,"(-71.8296005546077, -36.00214661447432)"
294,Quinta de Tilcoco,"(-70.99805764400921, -34.35924452408165)"
295,General Lagos,"(-69.57151871614185, -17.830523260327354)"
296,San Pedro de Atacama,"(-67.90949791756996, -23.404063702680666)"
297,Tierra Amarilla,"(-69.67089065594664, -27.8632659326002)"
298,Putaendo,"(-70.52162427079345, -32.4812303080191)"
299,Monte Patria,"(-70.65025042741452, -30.83458501072012)"
300,Río Hurtado,"(-70.65392826217405, -30.430418066765732)"
301,Salamanca,"(-70.6613006525538, -31.893373466940464)"
302,San Esteban,"(-70.3482839472294, -32.68664890702957)"
303,Los Andes,"(-70.24312786956055, -32.95091561371347)"
304,San José de Maipo,"(-70.09671566714962, -33.70443028113423)"
305,Curicó,"(-70.89569982026417, -35.19893236911807)"
306,Machalí,"(-70.31917651428306, -34.320616836741614)"
307,Molina,"(-70.91009763222571, -35.3526627351508)"
308,Colbún,"(-70.97862713761877, -36.07722670413651)"
309,San Clemente,"(-70.84843847466857, -35.71192106243452)"
310,Melipeuco,"(-71.61080103487821, -38.82477846628082)"
311,Lago Ranco,"(-72.16578530864152, -40.37261712015984)"
312,Futrono,"(-72.11549727841624, -40.11859162550143)"
313,Puerto Varas,"(-72.38593933815069, -41.18986061386627)"
314,Hualaihué,"(-72.37602581389685, -42.17782513270511)"
315,Palena,"(-71.98364204949338, -43.6831505371883)"
316,Futaleufú,"(-72.00708850013628, -43.180384857680586)"
317,Ollagüe,"(-68.31522964176601, -21.458457542792498)"
318,Pica,"(-68.91319803187157, -20.479667666232984)"
319,Diego de Almagro,"(-69.18871975051216, -26.232901747024446)"
320,Vallenar,"(-70.60309277250965, -28.594890512849982)"
321,Vicuña,"(-70.38219237232705, -29.892057656163487)"
322,Tiltil,"(-70.87619818082722, -33.062735561205685)"
323,Hijuelas,"(-71.08108168931722, -32.869354506200004)"
324,Quilpué,"(-71.25420868118107, -33.14718954103236)"
325,Melipilla,"(-71.19498245536818, -33.744044157059854)"
326,Las Cabras,"(-71.33274178766571, -34.16477041595227)"
327,San Pedro,"(-71.45203337676978, -33.93135423742752)"
328,Alhué,"(-71.056592157143, -34.04275216159479)"
329,Chimbarongo,"(-70.98075445734314, -34.7518152780304)"
330,Lolol,"(-71.64872474512076, -34.768084101444664)"
331,Hualañé,"(-71.70882376188621, -34.95267487200235)"
332,Rauco,"(-71.42622294894818, -34.93823224707911)"
333,Chépica,"(-71.359810315915, -34.79193534566687)"
334,Teno,"(-71.02188312621739, -34.888108967603166)"
335,Romeral,"(-70.711533513778, -35.06820783315635)"
336,San Fernando,"(-70.60292220811274, -34.74353703940589)"
337,Parral,"(-71.64573527646137, -36.261936763857534)"
338,Pinto,"(-71.49970198193749, -36.921294845863216)"
339,San Ignacio,"(-72.0293996954204, -36.82242854337992)"
340,Pemuco,"(-72.06761193315195, -36.98292183038202)"
341,San Nicolás,"(-72.22844825954766, -36.47962110095648)"
342,San Fabián,"(-71.28741082191691, -36.57978111733948)"
343,Ñiquén,"(-71.89785466838843, -36.30197779958486)"
344,El Carmen,"(-71.84707619261923, -36.925050920837485)"
345,Coihueco,"(-71.5812601685638, -36.701914643695886)"
